,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
28,1,TAMPINES WALK,7,2016,N,N,N,Y,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
123,101,TAMPINES ST 11,11,1981,Y,N,N,Y,N,N,TAP,120,0,0,80,40,0,0,0,0,0,0,0,0
167,102,TAMPINES ST 11,11,1982,Y,N,N,N,N,N,TAP,140,0,0,90,50,0,0,0,0,0,0,0,0
206,103,TAMPINES ST 11,10,1982,Y,N,N,N,N,N,TAP,126,0,0,72,54,0,0,0,0,0,0,0,0
244,104,TAMPINES ST 11,11,1982,Y,N,N,N,N,N,TAP,119,0,0,78,40,0,1,0,0,0,0,0,0
290,105,TAMPINES ST 11,11,1982,Y,N,N,N,N,N,TAP,119,0,0,78,40,0,1,0,0,0,0,0,0
331,106,TAMPINES ST 11,11,1983,Y,N,N,Y,N,N,TAP,80,0,0,0,12,68,0,0,0,0,0,0,0
373,107,TAMPINES ST 11,10,1983,Y,Y,N,N,N,N,TAP,115,0,0,65,49,0,1,0,0,0,0,0,0
417,108,TAMPINES ST 11,11,1983,Y,N,N,N,N,N,TAP,120,0,0,80,40,0,0,0,0,0,0,0,0
458,109,TAMPINES ST 11,11,1983,Y,Y,N,Y,N,N,TAP,179,0,0,118,60,0,1,0,0,0,0,0,0
524,110,TAMPINES ST 11,11,1983,Y,N,N,N,N,N,TAP,119,0,0,78,40,0,1,0,0,0,0,0,0
562,111,TAMPINES ST 11,11,1983,Y,N,N,Y,N,N,TAP,160,0,0,100,60,0,0,0,0,0,0,0,0
600,112,TAMPINES ST 11,11,1981,Y,Y,N,Y,N,N,TAP,120,0,0,80,40,0,0,0,0,0,0,0,0
638,113,TAMPINES ST 11,9,1981,Y,N,N,Y,N,N,TAP,112,0,0,80,32,0,0,0,0,0,0,0,0
681,114,TAMPINES ST 11,11,1981,Y,N,N,Y,N,N,TAP,80,0,0,0,12,68,0,0,0,0,0,0,0
799,117,TAMPINES ST 11,11,2014,Y,N,N,Y,N,N,TAP,149,0,28,0,0,0,0,0,121,0,0,0,0
1093,124,TAMPINES ST 11,13,1985,Y,N,N,Y,N,N,TAP,96,0,0,0,0,0,96,0,0,0,0,0,0
1123,125,TAMPINES ST 11,13,1985,Y,N,N,N,N,N,TAP,72,0,0,0,0,0,72,0,0,0,0,0,0
1152,126,TAMPINES ST 11,10,1985,Y,N,N,N,N,N,TAP,93,0,0,0,13,80,0,0,0,0,0,0,0
1190,127,TAMPINES ST 11,10,1985,Y,N,N,N,N,N,TAP,108,0,0,0,16,92,0,0,0,0,0,0,0
1456,136,TAMPINES ST 11,2,1984,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
1459,136A,TAMPINES ST 11,6,2016,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
1474,137,TAMPINES ST 11,1,2006,N,N,Y,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,137A,TAMPINES ST 11,1,1983,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
1479,137B,TAMPINES ST 11,1,1983,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,137C,TAMPINES ST 11,1,1983,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
1481,137D,TAMPINES ST 11,1,1983,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,138,TAMPINES ST 11,4,1983,Y,Y,N,N,N,N,TAP,83,0,0,80,0,0,3,0,0,0,0,0,0
1522,139,TAMPINES ST 11,4,1983,Y,Y,N,N,N,N,TAP,96,0,0,94,0,0,2,0,0,0,0,0,0
1567,140,TAMPINES ST 12,9,1984,Y,N,N,Y,N,N,TAP,114,0,0,0,114,0,0,0,0,0,0,0,0
1588,141,TAMPINES ST 12,11,1983,Y,N,N,N,N,N,TAP,120,0,0,0,120,0,0,0,0,0,0,0,0
1606,142,TAMPINES ST 12,11,1983,Y,Y,N,N,N,N,TAP,80,0,0,0,12,68,0,0,0,0,0,0,0
1626,143,TAMPINES ST 12,11,1983,Y,Y,N,N,N,N,TAP,80,0,0,0,12,68,0,0,0,0,0,0,0
1642,144,TAMPINES ST 12,11,1984,Y,Y,N,N,N,N,TAP,153,0,0,46,106,0,0,0,0,0,0,1,0
1659,145,TAMPINES ST 12,11,1984,Y,N,N,N,N,N,TAP,160,0,0,49,110,0,0,0,0,0,0,1,0
1676,146,TAMPINES AVE 5,11,1984,Y,N,N,N,N,N,TAP,78,0,0,0,0,0,78,0,0,0,0,0,0
1696,147,TAMPINES AVE 5,9,1984,Y,N,N,Y,N,N,TAP,92,0,0,0,0,0,92,0,0,0,0,0,0
1714,148,TAMPINES AVE 5,11,1984,Y,N,N,N,N,N,TAP,90,0,0,0,0,0,90,0,0,0,0,0,0
1730,149,TAMPINES ST 12,11,1983,Y,N,N,N,N,N,TAP,116,0,0,0,0,0,116,0,0,0,0,0,0
1769,150,TAMPINES ST 12,11,1983,Y,Y,N,Y,N,N,TAP,111,0,0,74,36,0,1,0,0,0,0,0,0
1787,151,TAMPINES ST 12,11,1983,Y,N,N,Y,N,N,TAP,116,0,0,0,0,0,116,0,0,0,0,0,0
1886,156,TAMPINES ST 12,11,1983,Y,N,N,Y,N,N,TAP,84,0,0,0,0,0,84,0,0,0,0,0,0
1905,157,TAMPINES ST 12,12,1983,Y,N,N,N,N,N,TAP,153,0,0,130,22,0,1,0,0,0,0,0,0
1926,158,TAMPINES ST 12,12,1983,Y,N,N,Y,N,N,TAP,110,0,0,0,110,0,0,0,0,0,0,0,0
1947,159,TAMPINES ST 12,12,1983,Y,N,N,Y,N,N,TAP,132,0,0,0,132,0,0,0,0,0,0,0,0
1985,160,TAMPINES ST 12,12,1983,Y,N,N,Y,N,N,TAP,88,0,0,0,12,76,0,0,0,0,0,0,0
2004,161,TAMPINES ST 12,11,1983,Y,N,N,N,N,N,TAP,160,0,0,50,110,0,0,0,0,0,0,0,0
2025,162,TAMPINES ST 12,11,1983,Y,N,N,Y,N,N,TAP,80,0,0,0,12,68,0,0,0,0,0,0,0
2044,163,TAMPINES ST 12,11,1983,Y,N,N,Y,N,N,TAP,120,0,0,0,120,0,0,0,0,0,0,0,0
2065,164,TAMPINES ST 12,11,1983,Y,Y,N,N,N,N,TAP,153,0,0,47,106,0,0,0,0,0,0,0,0
2081,165,TAMPINES ST 12,11,1983,Y,N,N,N,N,N,TAP,100,0,0,0,16,84,0,0,0,0,0,0,0
2100,166,TAMPINES ST 12,8,1983,Y,N,N,Y,N,N,TAP,102,0,0,0,102,0,0,0,0,0,0,0,0
2799,201,TAMPINES ST 21,1,1985,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
2806,201A,TAMPINES ST 21,4,1985,Y,Y,N,N,N,N,TAP,13,0,0,13,0,0,0,0,0,0,0,0,0
2810,201B,TAMPINES ST 21,4,1985,Y,Y,N,N,N,N,TAP,36,0,0,36,0,0,0,0,0,0,0,0,0
2814,201C,TAMPINES ST 21,1,1985,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
2818,201D,TAMPINES ST 21,4,1985,Y,Y,N,N,N,N,TAP,66,0,0,65,0,0,1,0,0,0,0,0,0
2819,201E,TAMPINES ST 23,4,1985,Y,Y,N,N,N,N,TAP,66,0,0,65,0,1,0,0,0,0,0,0,0
2820,201G,TAMPINES ST 21,1,1985,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
2834,202,TAMPINES ST 21,11,1982,Y,N,N,N,N,N,TAP,140,0,0,100,40,0,0,0,0,0,0,0,0
2840,202A,TAMPINES ST 21,4,2011,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
2861,203,TAMPINES ST 21,8,1982,Y,N,N,Y,N,N,TAP,84,0,0,56,28,0,0,0,0,0,0,0,0
2887,204,TAMPINES ST 21,11,1982,Y,N,N,N,N,N,TAP,120,0,0,66,0,0,0,0,0,20,20,14,0
2913,205,TAMPINES ST 21,9,1982,Y,N,N,Y,N,N,TAP,96,0,0,64,32,0,0,0,0,0,0,0,0
