Area,Blocks
1,"Tampines Blk 401, 402, 403, 404, 405, 406, 407"
2,"Tampines Blk 408, 409, 410, 411, 412, 413, 414, 415, 416"
3,"Tampines Blk 417, 418, 419, 425, 426, 427, 428"
22,"Tampines Blk 420, 421, 422, 423, 424"
4,"Tampines Blk 496B, 496C, 496D, 496E, 496F, 496G"
5,"Tampines Blk 493B, 493C, 493D, 493E, 495A, 495B"
6,"Tampines Blk 494B, 494C, 495C, 495D, 495E, 495F, 493A"
21,"Tampines Blk 429, 430, 431, 432, 433, 443, 434, 435, 436, 437, 438, 439, 440"
7,"Tampines Blk 492B, 492C, 492D, 494D, 494E"
8,"Tampines Blk 491G, 492G, 494J, 494H, 494G, 491A, 491B, 491C, 491D, 491H, 491E, 491F"
10,"Tampines Blk 498F, 498G, 498H, 498J, 498L, 498M"
11,"Tampines Blk 498A, 498B, 498D, 498E, 497G, 497H"
9,"Tampines Blk 489A, 489B, 489C, 490A, 490B"
12,"Tampines Blk 497A, 497B, 497C, 497D, 497F, 497J"
13,"Tampines Blk 486A, 486C, 487A, 487B, 487C"
14,"Tampines Blk 485A, 485B, 488A, 488B, 486B"
15,"Tampines Blk 467, 469, 470"
16,"Tampines Blk 463, 464, 465, 468"
17,"Tampines Blk 459, 460, 461, 462"
18,"Tampines Blk  454, 456, 457, 458"
19,"Tampines Blk 451, 452, 453, 455"
20,"Tampines Blk 450A, 450C, 450D, 450E, 450F, 450G, 444, 445, 446, 447, 448, 449, 450"
35,"Tampines Blk 218, 219, 222, 223, 224, 225, 227, 226,  228, 229, 230
"
23,"Tampines Blk 231, 232, 233, 234, 235"
24,"Tampines Blk 236, 237, 238, 239, 240, 241, 242, 243, 244, 246"
25,"Tampines Blk 245, 247, 248, 267, 268, 269"
26,"Tampines Blk 270, 271, 272, 273, 274"
27,"Tampines Blk 275, 276, 277,  278, 279, 280 281, 282"
28,"Tampines Blk 283, 284, 285, 286, 287, 288"
29,"Tampines Blk 289, 290, 291, 292, 293, 294, 295, 296, 297, 298"
30,"Tampines Blk 203, 205, 206, 207, 208, 209 "
34,"Tampines Blk 216, 217, 210, 211, 212, 213, 214, 215"
31,"Tampines Blk 249, 250, 251, 252, 253, 254, 265, 266"
32,"Tampines Blk 257, 258, 261, 262, 263, 264, 255, 256"
33,"Tampines Blk 230B, 230C, 230D, 230E, 230F, 230G, 230H, 230J, 259, 260, 220, 221"
39,"Tampines Blk 364, 365, 367A, 370 "
40,"Tampines Blk 366, 367, 368, 369 "
41,"Tampines Blk 355, 359, 360, 361, 362, 363 
352, 353, 354, 356, 357, 358"
36,"Tampines Blk 392, 393, 394, 395, 396, 389 "
37,"Tampines Blk 381, 382, 383, 384, 385, 386, 387, 388"
38,"Tampines Blk 371, 372, 373, 374, 390, 391"
